Axe_X_master/ActualVelocity_Standard deviation,Broche/StatusTorqueData.ActualTorque_Min,Broche/StatusTorqueData.ActualTorque_Root mean square,Sound_Spectral roll-off,AccZ_Zero crossing rate,Broche/StatusTorqueData.ActualTorque_Max,Axe_X_master/ActualVelocity_Spectral centroid,AccZ_Spectral roll-off,Axe_X_master/ActualVelocity_Variance,Broche/StatusTorqueData.ActualTorque_Spectral centroid,Broche/StatusTorqueData.ActualTorque_Spectral roll-off,Broche/ActualSpeed_Max,AccY_Zero crossing rate,AccY_Variance,Broche/StatusTorqueData.ActualTorque_Mean,AccY_Standard deviation,AccY_Root mean square,AccY_Max,AccX_Zero crossing rate,Axe_X_master/ActualVelocity_Max,Axe_X_master/ActualPosition_Standard deviation,AccX_Spectral roll-off,Axe_X_master/ActualVelocity_Mean,Axe_X_master/ActualPosition_Variance,Axe_X_master/ActualVelocity_Min,Axe_X_master/ActualVelocity_Root mean square,AccY_Spectral roll-off,Sound_Spectral centroid,AccY_Min,AccZ_Spectral centroid,Broche/ActualSpeed_Root mean square,Broche/ActualSpeed_Mean,AccZ_Standard deviation,AccZ_Variance,AccZ_Root mean square,Broche/ActualSpeed_Standard deviation,Broche/ActualSpeed_Variance,AccX_Spectral centroid,AccY_Spectral centroid,Broche/ActualSpeed_Spectral centroid,Sound_Zero crossing rate,Broche/ActualSpeed_Min,AccX_Min,AccX_Max,Sound_Max,DB_PASSES/NUMERO_PASSE,Broche/StatusTorqueData.ActualTorque_Variance,Broche/StatusTorqueData.ActualTorque_Standard deviation,Axe_X_master/ActualPosition_Spectral centroid,DB_PASSES/PASSE_ACTIVE.EPAISSEUR,DB_PASSES/EPAISSEUR_BRUTE,Sound_Min,Sound_Root mean square,Sound_Standard deviation,Sound_Variance,AccX_Variance,AccX_Standard deviation,AccX_Root mean square,AccZ_Mean,AccX_Mean,AccY_Mean,index,pass_type,sensor_file,DB_PASSES/NUMERO_OF,DB_PASSES/SELECTION_ALLIAGE,DB_PASSES/COMPTEUR_RESET_PASSES,PassNumber,ToolIdx,PassID,y,timestamp,time
2.702099585491503,839.052807956934,872.9933376342385,15492.785571142284,78261.0,897.300632417202,0.006159083575518167,14109.819639278556,7.301342169913352,0.1347492233421399,0.0,320.4457260668278,75387.0,0.009094308074132359,872.8479115730524,0.09536408167718262,0.09541538564170256,0.44608116151357535,99878.0,2406.4543672383074,57.71643142810893,16985.370741482962,2400.1037398165436,3331.186456795601,2395.9448833743973,2400.105260863266,17026.853707414826,4506.319483155564,-0.427842140183202,8286.98220687268,320.0181678930496,320.0180307626724,0.1399921065592276,0.019597789898890137,0.14002678177692798,0.29625732959317863,0.08776840533768127,10089.005325234762,8759.331570607412,0.006520671499024079,8758.0,319.35718953609467,-0.6159663200232899,0.644695758834132,3.6596179008301988,8.0,253.8908163284134,15.933951685894288,0.12058488253604273,25.399999618530273,29.200000762939453,-3.6045193672362075,1.1838488282836965,1.1838474715748737,1.4014948359542212,0.019174101545763142,0.13847058007303625,0.13847884445112985,-0.0031160417059588083,-0.001512882929069703,-0.0031285368820677096,0,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,877.9850855547189,1754006153.4099,580.0
2.4623734536264066,843.8831153512001,878.1248379433497,15549.298597194387,78412.0,905.8247042894363,0.00532250803334408,14157.715430861723,6.063283025124037,0.13378130767980642,0.0,320.51678225398064,76025.0,0.009152698151195062,877.9850855547189,0.09566973477121729,0.09571790715733884,0.43164491654897574,100092.0,2405.1497416552015,57.7325458017434,16974.549098196392,2399.815272604278,3333.046844750399,2394.2053825969224,2399.8165358851443,17052.304609218434,4588.727877211796,-0.4462599754187977,8288.272179371175,320.00587909684845,320.0057825446129,0.13999307729757612,0.019598061691245127,0.140029402619911,0.2485851096027706,0.06179455671622147,10104.681245342283,8774.526031034777,0.005545877530806272,7623.0,319.3384051322937,-0.6324529647681629,0.6316781044151867,4.538774490338255,8.0,245.42055650702446,15.665904267134549,0.10689031282062827,25.399999618530273,29.200000762939453,-3.8892507553282485,1.2519772682033334,1.2519748082153463,1.567440920405853,0.01932424066575943,0.13901165658231482,0.1390198783586531,-0.003189342697800738,-0.0015119236406885585,-0.0030363793218032903,1,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,886.3329932749272,1754006158.3999,584.99
3.001302635169161,848.4292870163918,886.474860325543,15515.831663326651,77993.0,911.5074188709259,0.006463521379811188,14211.222444889778,9.007817507873352,0.1319032352808687,0.0,320.7979582250118,75441.0,0.009278655541938772,886.3329932749272,0.09632577817977268,0.09637768644138665,0.47043561936879996,100070.0,2406.526846437369,57.720685855246046,17061.723446893786,2400.151576087924,3331.6775756000006,2393.190673810062,2400.1534525973234,17106.613226452904,4453.674748504188,-0.43380260466074105,8268.081047241405,320.00242792384336,320.0023044794798,0.13912784694349542,0.019356557795132685,0.13915989674846904,0.2810782397175169,0.0790049768426979,10105.340336267362,8749.408776536737,0.006582763679655422,7460.0,319.3607546389103,-0.5958557128760731,0.6106853485252941,4.478609561901976,8.0,251.50302149878334,15.858846789687558,0.09586026651136277,25.399999618530273,29.200000762939453,-4.374599456805299,1.3598230854448539,1.3598221420721375,1.8491162580696563,0.01920854768983337,0.1385949049923314,0.13860295364762631,-0.0029864808574436934,-0.001493676676082925,-0.0031627364505237743,2,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,883.707579138279,1754006163.3899,589.98
2.643749103067353,854.3961373269558,883.864868401259,15565.531062124246,78235.0,913.4963689744473,0.0053945447633028405,14273.947895791582,6.9894093199694325,0.14288944950657925,0.0,320.52843645215034,76217.0,0.00915481184196668,883.707579138279,0.09568078094354518,0.09573196677221826,0.46526193620229606,99861.0,2406.2369296411234,57.7271510074766,17048.29659318637,2400.071848968956,3332.4239634400064,2393.9154658006764,2400.073305051865,17114.62925851703,4474.642786842118,-0.4609107971045887,8301.406502935546,319.9877517989053,319.9876054376364,0.13895322701990015,0.019307999299243907,0.1389864157392436,0.30605163838942795,0.09366760536085315,10116.535371111955,8782.835280502211,0.006271499002242697,7756.0,319.3848989903927,-0.6774902343604481,0.6354570388939464,4.397803544979979,8.0,278.02016753715276,16.673936773814177,0.0869965721804839,25.399999618530273,29.200000762939453,-4.706794023531984,1.4297588041446452,1.429757338295608,2.0442060464101415,0.01929270832267429,0.13889819409435922,0.13890580990670068,-0.0030371797440971577,-0.0014545456892710443,-0.003130115031500119,3,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,887.1001597434282,1754006168.3799,594.97
2.664613350805532,846.4403369128704,887.2518828562087,15596.39278557114,78072.0,915.7694548070431,0.005433164147547078,14252.304609218436,7.100164309291085,0.13021870916045628,0.0,320.49981728196144,75882.0,0.00936290380368593,887.1001597434282,0.09676209900413452,0.09681351689559643,0.446939468398341,100030.0,2407.469076025168,57.71839340045772,17083.96793587174,2399.932688906758,3331.412936730001,2394.4228201941064,2399.934168148687,17127.05410821643,4472.886602929425,-0.4436016082618153,8281.639043054876,320.021225193408,320.0211178958416,0.14080975465125617,0.019827387004946958,0.14084402312393737,0.26205912650613594,0.06867498578515896,10115.47332308198,8761.146555787762,0.00666532910675035,6810.0,319.377301633358,-0.6463289260718739,0.6372690200951183,4.129403829556395,8.0,269.2102150714545,16.407626734889313,0.07958825012531798,25.399999618530273,29.200000762939453,-4.978549480456422,1.4905475214815402,1.4905455360349507,2.2217259949937183,0.019127359723349637,0.13830169819401944,0.13831041360071014,-0.0031067418285474304,-0.001552670940628251,-0.0031548771779587163,4,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,890.2767971944809,1754006173.3699,599.96
2.327918142818298,849.2816942036152,890.420340763269,15711.42284569138,78595.0,910.6550116837025,0.005061225170033838,14274.54909819639,5.419202879662595,0.12872638872169764,0.0,320.4770252108574,75167.0,0.009242830160043097,890.2767971944809,0.09613963885954169,0.09619207013887267,0.41568279267812613,100041.0,2405.9470128448775,57.72950205661227,17072.54509018036,2400.3719128530706,3332.6954077044,2395.6549665781513,2400.373041678478,17113.82765531062,4566.062322128646,-0.4403114318702137,8307.587124265068,320.0083475338805,320.0082746744156,0.13960472223341056,0.01948947846986772,0.13964007092861078,0.21594274387647402,0.04663126863290046,10123.807337090026,8765.620048185061,0.004842001302666192,6500.0,319.51407864689827,-0.6196379661414539,0.6070733070519054,4.0921688079652085,8.0,255.60762211312846,15.987733488932333,0.07337367992424504,25.399999618530273,29.200000762939453,-5.42488694192798,1.4468155865205443,1.446814699974947,2.0932727760635954,0.019201270102540222,0.13856864761749038,0.13857826153678754,-0.003141805067111809,-0.0016323198271387597,-0.003175562557831774,5,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,892.7771916103363,1754006178.3599,604.95
2.3792420686179985,859.2264447212219,892.9310324705724,15620.440881763525,78756.0,917.47426918149,0.004869493283301075,14280.360721442885,5.660792821081653,0.13273140943833073,0.0,320.6312343478203,76782.0,0.009017539356916283,892.7771916103363,0.09496072533903836,0.09501528780806008,0.4733562469627941,100029.0,2404.3524704655256,57.72937061158729,17059.719438877753,2399.9138443150023,3332.6802312099985,2394.8576953884753,2399.9150236888877,17112.424849699397,4461.2893114129865,-0.408315658554784,8302.531790128829,320.03704538521725,320.03688056766987,0.1402932921458623,0.019682207821124273,0.14032495651421953,0.3248005767162088,0.10549541463518185,10120.846023993774,8797.082863118618,0.007552305721947457,7627.0,319.36210691928864,-0.6501555442664539,0.635695457473048,4.223477840405394,8.0,274.7148893234109,16.574525312159345,0.06808629855978267,25.399999618530273,29.200000762939453,-4.931730031985353,1.496585316404974,1.4965828354177755,2.239760183267108,0.019144689129265303,0.1383643347444178,0.13837361237498474,-0.0029808722873218823,-0.0016023334350965578,-0.003219559027600841,6,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,893.2715877789259,1754006183.3499,609.94
3.0350702469228175,851.2706443071365,893.4258438510132,15570.340681362724,78391.0,919.1790835559368,0.006240603632592567,14301.803607214428,9.211651403756132,0.1271398478919772,0.0,320.60084491968155,75300.0,0.009273605344578812,893.2715877789259,0.09629956045890767,0.09634993488269163,0.4488825798180187,100306.0,2405.9470128448775,57.72207096255643,17084.168336673345,2399.9457351625892,3331.8374762064004,2392.10348582414,2399.9476542992566,17114.62925851703,4403.855883303851,-0.42906999586557504,8311.128541350481,320.0078746062466,320.00773867964745,0.14005897591222488,0.01961651673358119,0.14009700229604166,0.2949493952349807,0.08699514574948086,10130.814900310006,8766.710801850548,0.007065178453388179,6801.0,319.2494496703148,-0.7233977317664539,0.6298422813561046,5.275285243969847,8.0,275.60892781164216,16.601473663854126,0.06347750553642327,25.399999618530273,29.200000762939453,-4.5263051986876235,1.5943336112240398,1.5943303543570095,2.5418892788241476,0.019187002850766945,0.13851715724330665,0.13852529163651117,-0.0032639422108718327,-0.0015011902655979231,-0.0031152218733347284,7,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,893.2374914914369,1754006188.3399,614.93
2.6373143911850123,852.4071872234344,893.3752189602554,15605.611222444888,77911.0,914.3487761616707,0.005851766417821478,14247.494989979958,6.955427197951572,0.13289116149593957,0.0,320.48683539032936,75718.0,0.009410323757403418,893.2374914914369,0.09700682325178688,0.09706249196238596,0.5084514618065441,99935.0,2405.9470128448775,57.72359619181397,17021.442885771543,2400.3066815739153,3332.0135573156003,2393.9154658006764,2400.308130435669,17050.70140280561,4457.60123903545,-0.4090309142920887,8271.494681696106,320.00776215585336,320.00768557190895,0.14078989847185172,0.019821795511714313,0.14082378252365935,0.2213931062268378,0.04901490748476789,10113.575336305325,8762.137965564902,0.005303821056008863,5259.0,319.52706053853035,-0.5541324615332996,0.6515979766991222,5.091589689236571,8.0,246.06564636943764,15.686479731585338,0.059421492198149434,25.399999618530273,29.200000762939453,-4.40414547922046,1.6498524285349048,1.6498523148988582,2.722012660977121,0.01962438267187606,0.14008705390533438,0.14009600711997622,-0.003089047192353503,-0.001583836823782346,-0.0032868812793927856,8,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,897.7722977274657,1754006193.3299,619.92
1.5328065455444866,355.1696613430977,395.56083263046935,14122.62262262262,164649.0,430.7497652769089,0.008347080599536517,13717.817817817817,2.349495906064022,0.29758371573509357,3.1,350.563345849514,164900.0,0.008448066588216523,395.2100682842731,0.09191336457891487,0.09196219061421605,0.46787261964345817,201680.0,1203.734538012584,57.730226029486495,16690.190190190187,1199.9837394611538,3332.7789974156,1197.138930897992,1199.9847184306477,16921.62162162162,3278.4673933216113,-0.44023990629648324,8519.782061259753,349.9953536713257,349.9952998235822,0.1460040347783536,0.02131717817155869,0.14603395597396399,0.19414663825097472,0.03769291714415484,10124.261278821326,9065.011097075288,0.005229301931064982,9395.0,349.61249604821205,-0.7297039031836903,0.6842255592491711,3.735649585705687,9.0,277.37423805036923,16.654556074851385,0.11840649079041096,25.100000381469727,29.200000762939453,-4.170376062411378,1.3128349662275343,1.3128331411698284,1.7235308565538388,0.02210980634097022,0.1486936661091192,0.14870102433785437,-0.002956032111963562,-0.0014792897474600814,-0.00299631679715,10,Pre-Finishing,pass_000002.parquet,6341408.0,1.0,38.0,2,0,2,394.7838646906614,1754006288.9099,715.5
